"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2013","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3639",""
"United States of America","2013","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","2109",""
"United States of America","2013","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1530",""
"United States of America","2012","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","23629",""
"United States of America","2012","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","13139",""
"United States of America","2012","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","10490",""
"United States of America","2012","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","20052",""
"United States of America","2012","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","11103",""
"United States of America","2012","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","8949",""
"United States of America","2012","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3577",""
"United States of America","2012","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","2036",""
"United States of America","2012","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1541",""
"United States of America","2011","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","23985",""
"United States of America","2011","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","13327",""
"United States of America","2011","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","10658",""
"United States of America","2011","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","20301",""
"United States of America","2011","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","11299",""
"United States of America","2011","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","9002",""
"United States of America","2011","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3684",""
"United States of America","2011","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","2028",""
"United States of America","2011","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1656",""
"United States of America","2010","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","24586",""
"United States of America","2010","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","13702",""
"United States of America","2010","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","10884",""
"United States of America","2010","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","20783",""
"United States of America","2010","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","11617",""
"United States of America","2010","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","9166",""
"United States of America","2010","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3803",""
"United States of America","2010","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","2085",""
"United States of America","2010","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1718",""
"United States of America","2009","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2012","26412",""
"United States of America","2009","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2012","14823",""
"United States of America","2009","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2012","11589",""
"United States of America","2008","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2012","28059",""
"United States of America","2008","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2012","15669",""
"United States of America","2008","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2012","12390",""
"United States of America","2007","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2011","29138",""
"United States of America","2007","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2011","16293",""
"United States of America","2007","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2011","12845",""
"United States of America","2006","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2008","28527",""
"United States of America","2006","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2008","15980",""
"United States of America","2006","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2008","12547",""
"United States of America","2005","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2007","28440",""
"United States of America","2005","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2007","16018",""
"United States of America","2005","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2007","12422",""
"United States of America","2004","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2007","27936",""
"United States of America","2004","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2007","15718",""
"United States of America","2004","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2007","12218",""
"United States of America","2003","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2004","28025",""
"United States of America","2003","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2004","15902",""
"United States of America","2003","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2004","12123",""
"United States of America","2002","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2004","28034",""
"United States of America","2002","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2004","15717",""
"United States of America","2002","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2004","12317",""
"United States of America","2001","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2004","27568",""
"United States of America","2001","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2004","15477",""
"United States of America","2001","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2004","12091",""
"United States of America","2000","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2002","28035",""
"United States of America","2000","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2002","15718",""
"United States of America","2000","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2002","12317",""
"United States of America","1999","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1999","27937",""
"United States of America","1999","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1999","15646",""
"United States of America","1999","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1999","12291",""
"United States of America","1998","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2000","28371",""
"United States of America","1998","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2000","15786",""
"United States of America","1998","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2000","12585",""
"United States of America","1997","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1999","28045",""
"United States of America","1997","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1999","15788",""
